学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540112,林磊,108.6,122.2,122.4,,77.6,,76.7,,71.5,,579.0,64
202540515,孙磊,113.9,139.1,121.0,,82.4,,,53.5,68.9,,578.8,65
202540417,马杰,124.7,111.5,121.4,,,77.0,68.7,,,73.5,576.8,66
202540327,朱伟,121.9,92.8,99.1,,,76.6,100.0,85.5,,,575.9,67
202540415,杨强,105.9,122.3,113.9,,77.1,,,,80.9,75.5,575.6,68
202540216,马建,98.2,116.0,130.3,67.1,,,92.0,,71.8,,575.4,69
202540527,赵强,116.2,108.2,114.8,,,78.0,,,85.9,72.1,575.2,70
202540240,朱伟,113.7,103.1,128.9,,88.6,,,,69.8,67.9,572.0,71
202540213,高超,102.9,111.6,130.3,,80.5,71.1,,,75.0,,571.4,72
202540215,孙静,114.8,120.3,127.7,,,,71.1,,68.9,66.3,569.1,73
202540109,张磊,107.2,112.2,109.1,,75.6,81.1,,,,83.4,568.6,74
202540408,何娜,106.2,111.1,104.5,,,,89.5,,77.2,77.9,566.4,75
202540416,黄超,96.8,112.7,137.2,68.2,83.5,,,,,67.9,566.3,76
202540534,赵静,102.9,132.7,121.7,,,64.5,67.1,,76.5,,565.4,77
202540111,张静,97.9,122.1,100.2,,,,87.2,,77.0,80.2,564.6,78
202540119,胡明,117.2,116.1,89.0,72.9,74.1,,,95.1,,,564.4,79
202540421,吴娜,110.4,109.3,109.6,,,73.1,65.2,87.6,,,555.2,80
202540218,郭霞,104.2,96.4,111.1,85.0,,74.9,83.0,,,,554.6,81
202540117,马静,117.6,95.2,127.1,73.5,,,69.8,,,70.5,553.7,82
202540439,高磊,125.3,93.3,115.9,,,,81.2,,61.3,76.7,553.7,83
202540422,郭芳,115.1,114.4,107.1,84.6,,,71.2,60.8,,,553.2,84
202540513,周磊,100.8,120.7,93.5,,81.6,,,,76.9,78.5,552.0,85
202540120,胡芳,125.9,120.5,95.0,82.6,,,61.7,,64.6,,550.3,86
202540315,赵娜,107.9,102.7,105.0,,72.9,,78.8,,,82.2,549.5,87
202540236,黄军,106.2,106.5,124.3,,,68.8,,69.0,72.2,,547.0,88
202540105,黄华,99.9,116.5,116.8,67.0,,,,78.6,,66.5,545.3,89
202540210,李刚,112.0,107.1,104.5,,78.3,,,69.6,71.9,,543.4,90
202540540,高丽,118.2,99.1,107.2,,,,74.9,59.7,,82.2,541.3,91
202540505,李超,120.7,101.2,119.8,66.3,57.7,,,,75.2,,540.9,92
202540334,陈娜,106.4,102.5,122.8,,,66.5,,65.8,75.1,,539.1,93
202540138,何涛,104.0,127.6,107.4,62.8,,72.4,,,64.3,,538.5,94
202540317,陈敏,115.0,104.5,112.9,,,70.1,70.2,,,63.9,536.6,95
202540411,刘超,83.2,130.0,100.5,,,,,71.6,75.2,75.3,535.8,96
202540436,刘涛,100.7,99.4,117.1,85.4,64.5,,,,,68.6,535.7,97
202540338,高勇,108.1,118.2,101.8,,72.3,72.2,,,62.9,,535.5,98
202540506,孙峰,101.1,121.3,110.3,,,65.1,65.3,,,72.1,535.2,99
202540214,王明,117.3,99.4,112.4,,,,69.2,64.6,68.6,,531.5,100
202540139,杨刚,113.9,105.1,117.1,,64.2,,66.4,,,64.2,530.9,101
202540412,郭芳,121.6,93.9,100.3,,83.4,,71.9,59.3,,,530.4,102
202540237,高伟,105.6,124.5,101.0,,67.5,,58.3,,72.2,,529.1,103
202540207,杨磊,102.4,112.7,103.1,,70.3,66.2,,,73.2,,527.9,104
202540115,罗静,116.3,107.4,104.7,,,72.8,,62.0,,63.8,527.0,105
202540535,陈伟,101.5,126.3,90.3,,,75.4,,66.6,66.8,,526.9,106
202540206,李静,111.9,119.4,83.0,,,72.7,,77.7,61.1,,525.8,107
202540511,罗芳,119.2,112.5,92.5,64.6,,,66.3,68.4,,,523.5,108
202540212,刘军,107.7,103.3,104.6,63.9,,70.6,,73.0,,,523.1,109
202540114,孙磊,99.6,107.4,114.8,,66.9,70.9,,,62.3,,521.9,110
202540308,张军,98.0,126.5,99.4,69.8,,,,65.5,62.3,,521.5,111
202540413,陈刚,100.7,113.9,89.7,68.6,,68.8,,,79.7,,521.4,112
202540305,周涛,105.6,120.6,82.2,71.8,,74.4,,64.7,,,519.3,113
202540340,郭艳,110.9,85.3,105.9,,80.4,69.1,,,65.5,,517.1,114
202540537,黄磊,99.8,122.7,92.4,61.0,,,73.0,,,67.8,516.7,115
202540507,朱刚,83.9,121.2,106.5,,,66.3,59.8,79.0,,,516.7,116
202540311,罗明,93.0,99.9,95.4,,81.5,,75.5,70.9,,,516.2,117
202540312,张芳,110.9,72.1,94.7,,,76.8,,85.8,74.8,,515.1,118
202540401,胡建,100.8,112.5,93.7,,,63.6,,75.6,,68.2,514.4,119
202540108,赵芳,95.6,100.1,107.8,,67.8,,,75.1,67.4,,513.8,120
202540310,赵伟,122.6,99.7,98.8,,,67.8,,58.9,65.3,,513.1,121
202540433,黄静,103.3,114.0,95.5,60.8,67.6,,,71.7,,,512.9,122
202540235,黄霞,103.2,82.8,103.8,76.3,,,68.1,,,76.7,510.9,123
202540337,黄涛,106.3,91.9,98.7,,76.9,,72.6,64.4,,,510.8,124
202540234,胡静,92.3,98.5,118.8,62.1,,73.2,,,65.3,,510.2,125
202540538,马芳,95.5,114.9,92.8,58.5,71.9,,,,,75.1,508.7,126
202540437,李刚,98.0,121.4,93.9,,72.8,63.6,,58.7,,,508.4,127
202540510,李华,115.7,81.0,86.9,,75.4,,71.7,76.5,,,507.2,128
202540134,王杰,116.1,79.5,108.5,,,76.2,,61.6,,64.9,506.8,129
202540219,张丽,102.2,87.6,115.4,62.6,,,68.2,,70.7,,506.7,130
202540306,郑敏,117.0,106.3,73.5,,,73.8,71.3,,,64.4,506.3,131
202540405,刘明,109.3,94.6,80.0,,73.5,,71.3,77.2,,,505.9,132
202540339,罗明,99.4,93.2,103.0,73.8,,,,56.9,78.9,,505.2,133
202540512,罗华,109.7,82.0,112.4,,,,,71.7,65.3,63.8,504.9,134
202540140,孙峰,97.2,93.0,112.8,,,61.0,,65.6,75.1,,504.7,135
202540434,朱霞,103.3,97.6,99.9,,69.1,,,,64.5,67.5,501.9,136
202540204,胡丽,100.0,123.3,91.1,57.1,,,72.5,,57.9,,501.9,137
202540531,何刚,106.5,95.2,110.7,50.5,,,68.8,68.0,,,499.7,138
202540440,张峰,107.1,82.0,106.3,,74.2,,,,63.7,64.1,497.4,139
202540435,陈丽,86.2,104.1,121.4,62.0,,65.4,58.2,,,,497.3,140
202540504,王杰,102.5,72.5,111.8,,,72.5,,77.5,,59.2,496.0,141
202540209,何涛,107.3,78.1,100.2,75.7,,,65.9,,68.3,,495.5,142
202540208,刘超,99.7,100.3,86.7,58.3,76.0,,,,,73.8,494.8,143
202540336,郭艳,89.8,127.1,89.7,,,54.6,67.2,,65.8,,494.2,144
202540406,胡磊,89.1,99.3,95.2,,80.9,62.7,,,66.3,,493.5,145
202540503,陈敏,100.1,114.6,98.4,68.2,,,,48.8,59.9,,490.0,146
202540410,王强,100.0,91.3,87.0,77.2,61.1,,72.9,,,,489.5,147
202540332,李超,91.8,89.5,115.2,,55.2,74.0,,,,61.7,487.4,148
202540107,马刚,101.9,90.9,98.3,,,61.0,63.4,,,71.2,486.7,149
202540104,刘军,84.3,101.4,96.0,,60.4,71.8,,71.9,,,485.8,150
202540132,郭建,107.6,113.9,80.7,,,59.1,,,61.0,63.4,485.7,151
202540130,朱敏,94.1,91.3,99.5,,66.0,60.3,74.0,,,,485.2,152
202540407,胡军,99.8,95.3,90.2,67.6,,,,64.1,67.3,,484.3,153
202540335,郭强,119.7,94.8,88.9,,,,55.6,,66.3,57.6,482.9,154
202540307,刘磊,101.0,78.5,105.5,,62.3,72.1,,,63.1,,482.5,155
202540102,朱建,99.1,124.8,83.6,62.8,58.0,,,,53.9,,482.2,156
202540211,王刚,99.8,93.2,87.7,,,,54.8,78.1,67.6,,481.2,157
202540532,王强,88.2,94.7,99.4,61.2,63.3,74.0,,,,,480.8,158
202540508,郭丽,92.2,109.5,94.2,52.5,,59.2,,,72.9,,480.5,159
202540239,林涛,88.5,101.6,85.5,,72.6,,,64.9,,65.0,478.1,160
202540201,朱丽,88.0,108.4,89.8,61.8,,,67.7,,62.3,,478.0,161
202540402,吴超,90.9,100.1,96.7,51.0,,,,73.8,,63.9,476.4,162
202540135,杨丽,121.3,88.6,81.4,,67.2,59.4,,,58.2,,476.1,163
202540331,赵军,100.6,93.5,81.9,,74.1,,,69.9,55.8,,475.8,164
202540333,赵华,81.0,94.2,91.9,66.0,,,71.8,70.3,,,475.2,165
202540438,林勇,94.1,94.5,84.7,71.7,,,58.6,,71.5,,475.1,166
202540502,陈伟,105.7,86.0,102.5,,,,61.6,62.8,,55.6,474.2,167
202540530,朱敏,78.9,97.2,82.8,,68.2,,85.8,,60.0,,472.9,168
202540409,马华,82.1,83.1,107.3,,73.8,,52.9,69.3,,,468.5,169
202540302,赵敏,95.0,81.7,89.6,,,62.9,,,66.9,72.1,468.2,170
202540203,张超,96.9,69.3,110.2,,54.8,59.1,,76.6,,,466.9,171
202540536,胡霞,87.0,77.7,115.4,55.9,66.6,63.6,,,,,466.2,172
202540304,罗霞,80.2,101.2,99.6,,70.5,,50.8,,63.2,,465.5,173
202540509,郭艳,100.2,88.4,89.2,61.8,60.8,,,63.8,,,464.2,174
202540136,张勇,88.7,87.1,91.3,67.3,,,55.3,,73.6,,463.3,175
202540205,林艳,97.8,84.3,96.1,,66.6,,66.8,51.6,,,463.2,176
202540539,黄超,89.5,82.3,92.9,,73.6,,,,61.6,63.1,463.0,177
202540330,孙明,97.0,73.2,89.8,,65.9,65.4,,,70.6,,461.9,178
202540133,郑敏,99.1,91.2,91.3,50.7,,,59.4,,,68.3,460.0,179
202540106,胡明,77.5,73.8,119.6,,,63.2,70.6,,54.4,,459.1,180
202540309,孙艳,97.0,91.6,84.2,63.5,,,,54.7,67.6,,458.6,181
202540301,李明,92.7,94.7,86.7,,71.2,,59.8,,52.4,,457.5,182
202540233,孙华,99.8,83.1,83.4,,,,66.9,64.8,,59.4,457.4,183
202540231,朱华,74.4,92.7,115.9,,,52.6,,,67.5,54.2,457.3,184
202540232,周伟,84.6,97.4,91.3,,63.3,,63.5,56.2,,,456.3,185
202540404,赵杰,84.0,87.1,94.4,,57.2,,,62.9,70.3,,455.9,186
202540137,罗杰,96.9,77.2,93.0,56.3,,54.0,,,76.3,,453.7,187
202540202,黄涛,78.2,112.2,79.7,,55.0,,,65.2,60.8,,451.1,188
202540303,孙军,92.7,93.5,89.4,62.7,,,,59.1,,53.4,450.8,189
202540131,周峰,78.4,109.9,89.5,,58.0,,54.5,,56.3,,446.6,190
202540431,陈静,71.5,102.0,100.5,60.3,,50.1,,61.6,,,446.0,191
202540103,陈勇,79.9,106.1,82.8,57.9,53.3,60.4,,,,,440.4,192
202540403,李勇,79.1,102.4,72.8,56.3,,,70.2,,,56.2,437.0,193
202540533,胡丽,93.6,78.7,76.8,66.5,,,,57.6,,51.7,424.9,194
202540230,黄涛,76.3,78.4,89.1,62.0,61.7,,,,56.5,,424.0,195
202540501,刘峰,81.8,78.4,89.6,53.4,,64.1,,,54.4,,421.7,196
202540238,张静,77.9,79.7,84.5,62.2,,58.7,58.4,,,,421.4,197
202540432,何静,86.4,82.7,80.8,,,61.8,,,52.0,56.6,420.3,198
202540430,杨伟,79.8,70.5,106.7,,58.1,,50.4,,54.2,,419.7,199
202540101,李超,90.3,83.0,85.2,49.4,54.7,49.0,,,,,411.6,200
