学号,姓名,语文,数学,英语,生物,历史,技术,物理,化学,政治,地理,总分,排名
202540407,刘超,93.7,111.5,83.8,70.7,,,,68.9,65.9,,494.5,122
202540140,孙军,101.2,112.7,87.0,,,56.0,,64.4,73.2,,494.5,123
202540230,刘艳,87.6,107.8,115.2,62.5,60.7,,,,59.6,,493.4,124
202540505,罗静,114.0,94.4,105.3,60.6,51.4,,,,66.7,,492.4,125
202540214,刘霞,116.3,94.5,81.0,,,,63.1,66.9,69.9,,491.7,126
202540311,黄超,97.4,95.1,89.5,,77.0,,63.6,68.2,,,490.8,127
202540433,何军,103.5,102.2,95.8,61.5,70.1,,,57.6,,,490.7,128
202540532,罗超,107.4,85.4,98.2,63.4,62.6,72.7,,,,,489.7,129
202540207,张军,77.6,106.4,112.2,,64.3,58.6,,,70.4,,489.5,130
202540138,王军,93.4,92.0,114.8,55.3,,69.6,,,64.2,,489.3,131
202540410,王娜,109.7,85.0,84.3,78.8,62.9,,68.5,,,,489.2,132
202540209,郑刚,110.2,99.4,80.1,68.8,,,73.9,,56.4,,488.8,133
202540317,郭艳,109.2,82.5,94.7,,,69.7,67.5,,,63.9,487.5,134
202540408,王建,84.0,87.7,111.3,,,,59.6,,71.9,72.5,487.0,135
202540434,陈超,95.2,107.2,92.6,,64.7,,,,62.5,64.2,486.4,136
202540105,朱涛,102.6,103.7,104.2,60.8,,,,53.8,,60.2,485.3,137
202540315,黄艳,96.6,86.2,99.2,,63.4,,63.3,,,76.6,485.3,138
202540206,高敏,104.5,106.2,81.7,,,65.4,,73.8,53.4,,485.0,139
202540234,朱芳,77.3,99.7,114.4,61.0,,69.4,,,62.6,,484.4,140
202540239,李芳,92.4,75.4,90.0,,74.2,,,85.8,,63.0,480.8,141
202540401,林涛,99.9,109.4,78.9,,,58.6,,69.6,,64.3,480.7,142
202540235,黄娜,100.1,96.7,75.5,68.7,,,62.2,,,76.8,480.0,143
202540237,罗静,90.9,93.1,104.5,,62.6,,55.1,,71.8,,478.0,144
202540337,黄霞,106.0,91.0,85.3,,70.8,,71.3,52.7,,,477.1,145
202540338,朱静,98.2,108.5,81.2,,63.4,65.0,,,59.2,,475.5,146
202540107,胡伟,102.3,95.6,103.4,,,55.6,49.9,,,68.5,475.3,147
202540435,杨建,82.0,120.7,95.1,49.7,,55.1,71.6,,,,474.2,148
202540201,张超,95.8,96.2,97.3,59.7,,,61.2,,61.5,,471.7,149
202540330,吴峰,79.7,101.8,90.6,,65.1,63.8,,,65.9,,466.9,150
202540404,郑强,87.5,96.1,99.8,,58.4,,,57.0,68.0,,466.8,151
202540538,何娜,94.7,103.5,75.5,58.2,64.9,,,,,69.8,466.6,152
202540406,周霞,81.0,97.5,106.4,,65.7,57.6,,,57.7,,465.9,153
202540205,孙超,107.4,74.2,110.6,,67.6,,54.1,51.7,,,465.6,154
202540232,李丽,76.9,76.2,91.5,,64.7,,78.6,76.7,,,464.6,155
202540509,王霞,99.6,105.4,82.1,55.4,63.1,,,57.8,,,463.4,156
202540135,周娜,111.2,97.0,77.9,,65.8,54.5,,,56.3,,462.7,157
202540305,胡华,104.8,94.0,69.5,65.5,,68.4,,59.8,,,462.0,158
202540539,孙峰,88.7,107.5,83.9,,66.6,,,,59.1,55.3,461.1,159
202540131,赵娜,81.1,113.4,84.5,,56.0,,73.2,,52.8,,461.0,160
202540103,马磊,94.1,89.6,93.8,63.4,55.3,64.7,,,,,460.9,161
202540108,郑建,85.4,81.0,101.5,,64.5,,,69.2,58.1,,459.7,162
202540405,高霞,97.1,88.3,83.6,,63.9,,62.9,63.7,,,459.5,163
202540202,周艳,84.6,95.1,80.2,,62.0,,,70.9,66.3,,459.1,164
202540502,何敏,102.2,88.4,108.8,,,,60.3,46.0,,52.8,458.5,165
202540231,陈静,79.6,71.4,119.2,,,58.1,,,70.0,60.0,458.3,166
202540432,胡涛,100.4,91.9,96.0,,,60.0,,,50.8,58.4,457.5,167
202540309,陈伟,101.0,88.9,80.8,61.0,,,,53.3,72.5,,457.5,168
202540302,胡刚,91.9,67.8,104.3,,,59.9,,,66.2,65.5,455.6,169
202540106,李伟,71.7,102.2,102.7,,,56.6,68.6,,52.7,,454.5,170
202540333,陈强,70.8,98.9,82.3,67.1,,,65.3,67.4,,,451.8,171
202540132,罗明,91.5,104.9,76.2,,,55.2,,,63.2,60.6,451.6,172
202540310,杨伟,99.5,89.4,92.9,,,60.9,,52.9,55.7,,451.3,173
202540436,罗芳,81.6,111.0,79.7,64.2,53.9,,,,,60.0,450.4,174
202540306,马敏,103.4,81.2,79.4,,,68.5,59.9,,,57.1,449.5,175
202540503,罗明,102.5,85.1,78.1,61.5,,,,61.6,58.9,,447.7,176
202540504,张磊,91.0,69.3,89.1,,,65.5,,69.8,,61.1,445.8,177
202540335,何敏,93.1,96.3,84.0,,,,58.7,,60.4,52.2,444.7,178
202540203,马伟,86.0,85.4,92.5,,52.4,52.8,,73.7,,,442.8,179
202540303,郑敏,101.2,85.0,85.1,63.0,,,,53.0,,52.7,440.0,180
202540301,吴军,89.8,90.7,74.2,,65.9,,62.7,,54.8,,438.1,181
202540133,吴明,94.1,76.7,80.0,54.5,,,65.0,,,65.1,435.4,182
202540506,周超,81.7,89.4,86.7,,,55.5,58.5,,,62.4,434.2,183
202540233,孙敏,101.0,72.7,90.7,,,,54.3,51.3,,62.7,432.7,184
202540137,胡峰,79.2,83.4,87.4,59.7,,54.9,,,67.9,,432.5,185
202540531,马霞,95.2,70.0,90.8,49.8,,,59.9,66.6,,,432.3,186
202540130,王超,83.8,80.6,80.7,,64.4,58.0,61.9,,,,429.4,187
202540331,罗建,81.1,96.8,79.2,,60.1,,,58.7,50.9,,426.8,188
202540533,王霞,91.4,96.6,78.7,55.1,,,,53.2,,50.0,425.0,189
202540402,赵华,90.2,88.5,76.3,49.8,,,,55.7,,61.7,422.2,190
202540332,高敏,81.3,68.5,101.2,,48.3,66.6,,,,53.7,419.6,191
202540530,陈建,79.6,75.2,80.0,,61.3,,68.9,,54.6,,419.6,192
202540430,周磊,84.4,66.7,104.0,,53.8,,58.0,,52.4,,419.3,193
202540403,郑华,90.0,97.9,70.2,52.5,,,56.7,,,51.2,418.5,194
202540431,郭伟,70.2,94.2,90.8,57.8,,51.0,,54.5,,,418.5,195
202540204,马明,76.0,77.8,96.4,54.4,,,63.7,,47.2,,415.5,196
202540136,吴静,80.7,74.4,81.0,52.4,,,58.0,,68.5,,415.0,197
202540101,王强,81.0,80.6,97.3,45.9,52.8,49.3,,,,,406.9,198
202540501,马娜,77.5,79.7,81.1,55.8,,57.9,,,50.6,,402.6,199
202540104,刘军,75.7,75.4,71.8,,56.5,61.3,,53.8,,,394.5,200
